,AnnualHouseholdIncome,BirthYear2020,CoronavirusConcern2,CoronavirusEmployment,CoronavirusIntent_Mask,CoronavirusIntent_SixFeet,CoronavirusIntent_StayHome,CoronavirusIntent_WashHands,CoronavirusLocalCommunity,CoronavirusSupportSystem,CoronavirusSymptomSelect,CoronavirusUnderstanding1,CoronavirusUnderstanding2,CoronavirusUnderstanding3,CoronavirusUnderstanding4,CoronavirusWhenShouldReopen,Education_Alt2,Ethnicity,Gender,HasCoronavirusBelief,PoliticalBeliefsNoOp,PoliticalPartyNoOp,Religion_Alt1,Religiosity_Alt2,TrumpApproveNoOp,ZipCode,startTime
0,71000.0,2002,8.6,['was-full'],71.0,42,14,93,0.0,"['fam-friend', 'state-gov']",['none'],['elderly-more-risk'],['all-spread-covid'],['asymptomatic-spread'],three-percent,1-mo,highschool,white,female,1.7,5.0,4.9,nothing-in-particular,0.0,7.5,497,2020-04-29 19:21:22.070
1,250000.0,1990,10.0,['was-jobless'],73.0,77,77,76,2.0,['employer'],"['dry-cough', 'short-breath', 'diarrhea', 'muscle-ache', 'fatigue', 'nasal', 'sore-throat', 'lost-smell-taste', 'fever', 'headache', 'nausea-vomit']",['corona-only-elderly'],['ethnicity-spreads-covid'],"['only-sick-spread', 'infect-from-animal']",three-percent,3-wk,highschool,black,female,10.0,10.0,7.7,catholic,8.8,7.9,029,2020-04-29 19:21:41.215
2,68000.0,1993,6.3,"['now-full', 'was-full']",100.0,100,100,75,2.0,['fam-friend'],"['nasal', 'headache']","['elderly-more-risk', 'corona-all-hospitalize']",['all-spread-covid'],['asymptomatic-spread'],one-in-1k,1-mo,college,white,female,2.0,1.8,1.9,agnostic,0.0,0.0,606,2020-04-29 19:22:08.501
3,125000.0,1980,8.4,"['was-full', 'now-full']",67.0,53,56,70,2.0,['fam-friend'],"['dry-cough', 'muscle-ache', 'nasal', 'headache']",['elderly-more-risk'],['all-spread-covid'],['asymptomatic-spread'],almost-all,2-mo,postgrad,white,male,2.9,6.1,8.8,nothing-in-particular,2.9,7.0,554,2020-04-29 19:22:33.646
4,62000.0,1998,8.0,['now-part'],100.0,100,75,100,0.0,"['employer', 'fam-friend']",['none'],['none-true'],['all-spread-covid'],['only-sick-spread'],three-in-ten,immediate,postgrad,black,female,0.0,7.0,5.1,catholic,10.0,0.0,604,2020-04-29 19:22:34.314
5,24000.0,1998,10.0,['was-full'],100.0,100,100,97,0.0,['fam-friend'],['none'],"['young-invulnerable', 'corona-kills-most']",['all-spread-covid'],['only-sick-spread'],three-in-ten,immediate,college,black,male,0.0,4.9,5.2,something-else,6.8,0.1,112,2020-04-29 19:22:45.047
6,100000.0,2002,10.0,['now-jobless'],100.0,99,100,100,1.0,"['local-gov', 'state-gov']",['fatigue'],"['elderly-more-risk', 'corona-similar-flu']",['all-spread-covid'],['asymptomatic-spread'],one-in-1k,2-mo,highschool,black,female,0.0,3.8,4.4,muslim,3.1,2.8,211,2020-04-29 19:23:15.191
7,6700.0,1995,7.8,['now-full'],100.0,100,100,33,0.0,['fam-friend'],['fever'],"['elderly-more-risk', 'corona-all-hospitalize']",['all-spread-covid'],['asymptomatic-spread'],almost-all,immediate,college,white,male,0.0,6.8,0.0,catholic,7.4,0.0,601,2020-04-29 19:23:25.257
8,125000.0,1963,6.4,['was-part'],77.0,92,74,82,0.0,['local-community'],['headache'],['elderly-more-risk'],['all-spread-covid'],['asymptomatic-spread'],thirty-percent,4-mo,postgrad,white,male,2.2,8.6,8.8,mormon,8.2,9.1,840,2020-04-29 19:23:41.189
9,140000.0,1971,5.0,['was-full'],4.0,71,0,90,0.0,['fam-friend'],['none'],"['elderly-more-risk', 'corona-all-hospitalize']",['all-spread-covid'],['asymptomatic-spread'],one-in-30k,1-mo,college,white,male,0.0,3.6,3.5,catholic,1.7,4.7,080,2020-04-29 19:23:52.426
10,150000.0,1991,7.7,['was-full'],82.0,100,100,100,2.0,['fam-friend'],['none'],['elderly-more-risk'],['all-spread-covid'],['asymptomatic-spread'],one-in-1k,1-mo,college,white,male,2.5,6.9,5.3,other-protestant,9.6,5.5,741,2020-04-29 19:23:57.391
11,60000.0,1995,6.9,['now-full'],100.0,100,100,100,0.0,['fam-friend'],"['headache', 'fatigue', 'diarrhea', 'short-breath', 'nasal']","['corona-all-hospitalize', 'elderly-more-risk']",['all-spread-covid'],['asymptomatic-spread'],three-percent,1-yr,college,asian,male,5.6,0.0,0.0,atheist,0.0,0.0,430,2020-04-29 19:24:13.151
12,57000.0,1974,5.1,['now-part'],13.0,96,24,77,0.0,['fam-friend'],['nasal'],"['elderly-more-risk', 'corona-all-hospitalize']",['all-spread-covid'],['asymptomatic-spread'],one-in-30k,2-wk,college,hispanic-latino,female,0.3,3.5,2.8,catholic,8.2,6.4,480,2020-04-29 19:24:28.068
