_id,AnnualHouseholdIncome,BirthYear2020,CoronavirusConcern2,CoronavirusEmployment,CoronavirusIntent_Mask,CoronavirusIntent_SixFeet,CoronavirusIntent_StayHome,CoronavirusIntent_WashHands,CoronavirusLocalCommunity,CoronavirusSupportSystem,CoronavirusSymptomSelect,CoronavirusUnderstanding1,CoronavirusUnderstanding2,CoronavirusUnderstanding3,CoronavirusUnderstanding4,CoronavirusWhenShouldReopen,Education_Alt2,Ethnicity,Gender,HasCoronavirusBelief,PoliticalBeliefsNoOp,PoliticalPartyNoOp,Religion_Alt1,Religiosity_Alt2,TrumpApproveNoOp,ZipCode,startTime
5ea9d4992e976d002126232e,24000.0,1998,10.0,['was-full'],100.0,100,100,97,0.0,['fam-friend'],['none'],"['young-invulnerable', 'corona-kills-most']",['all-spread-covid'],['only-sick-spread'],three-in-ten,immediate,college,black,male,0.0,4.9,5.2,something-else,6.8,0.1,112,2020-04-29 19:22:45.047
5ea9d4bd065939001f471931,68000.0,1993,6.3,"['now-full', 'was-full']",100.0,100,100,75,2.0,['fam-friend'],"['nasal', 'headache']","['elderly-more-risk', 'corona-all-hospitalize']",['all-spread-covid'],['asymptomatic-spread'],one-in-1k,1-mo,college,white,female,2.0,1.8,1.9,agnostic,0.0,0.0,606,2020-04-29 19:22:08.501
5ea9d4d0c54f3900316caa41,250000.0,1990,10.0,['was-jobless'],73.0,77,77,76,2.0,['employer'],"['dry-cough', 'short-breath', 'diarrhea', 'muscle-ache', 'fatigue', 'nasal', 'sore-throat', 'lost-smell-taste', 'fever', 'headache', 'nausea-vomit']",['corona-only-elderly'],['ethnicity-spreads-covid'],"['only-sick-spread', 'infect-from-animal']",three-percent,3-wk,highschool,black,female,10.0,10.0,7.7,catholic,8.8,7.9,029,2020-04-29 19:21:41.215
5ea9d4fd2735280029a27b00,6700.0,1995,7.8,['now-full'],100.0,100,100,33,0.0,['fam-friend'],['fever'],"['elderly-more-risk', 'corona-all-hospitalize']",['all-spread-covid'],['asymptomatic-spread'],almost-all,immediate,college,white,male,0.0,6.8,0.0,catholic,7.4,0.0,601,2020-04-29 19:23:25.257
5ea9d5042735280029a27b01,71000.0,2002,8.6,['was-full'],71.0,42,14,93,0.0,"['fam-friend', 'state-gov']",['none'],['elderly-more-risk'],['all-spread-covid'],['asymptomatic-spread'],three-percent,1-mo,highschool,white,female,1.7,5.0,4.9,nothing-in-particular,0.0,7.5,497,2020-04-29 19:21:22.070
5ea9d508065939001f471932,150000.0,1950,9.1,['now-full'],77.0,79,87,69,0.0,['fam-friend'],['none'],['corona-similar-flu'],['all-spread-covid'],['only-sick-spread'],one-in-30k,few-days,college,black,male,0.0,8.6,8.1,catholic,7.9,7.8,902,2020-04-29 19:24:53.307
5ea9d533c54f3900316caa44,98000.0,1996,8.3,['was-full'],90.0,93,90,92,3.0,"['employer', 'fam-friend']","['dry-cough', 'muscle-ache']",['corona-similar-flu'],"['ethnicity-spreads-covid', 'all-spread-covid']","['asymptomatic-spread', 'only-sick-spread']",thirty-percent,4-mo,postgrad,hispanic-latino,female,1.4,9.3,1.5,evangelical-protestant,8.4,2.0,321,2020-04-29 19:24:32.217
5ea9d54b065939001f471936,50000.0,2000,7.8,"['now-part', 'was-jobless', 'was-part']",91.0,80,18,14,0.0,"['fam-friend', 'religious']",['dry-cough'],"['corona-similar-flu', 'young-invulnerable']",['non-natives-spread-covid'],['only-sick-spread'],one-in-30k,3-mo,some-college,white,male,2.1,8.6,2.0,catholic,7.7,9.6,321,2020-04-29 19:26:10.060
5ea9d55db3c290002745a270,5255.0,1960,8.6,"['was-disabled', 'now-retired']",93.0,100,7,8,0.0,['fam-friend'],['dry-cough'],"['elderly-more-risk', 'corona-kills-most']","['ethnicity-spreads-covid', 'all-spread-covid']","['infect-from-animal', 'only-sick-spread', 'asymptomatic-spread']",three-in-ten,3-wk,some-college,white,male,1.7,3.9,0.9,catholic,1.0,1.8,952,2020-04-29 19:25:44.058
5ea9d55face2e2001d4baff6,15000.0,2000,10.0,['now-full'],100.0,100,100,100,5.0,['local-gov'],['none'],['corona-only-elderly'],['non-natives-spread-covid'],['only-sick-spread'],three-in-ten,few-days,some-college,hispanic-latino,female,0.0,8.0,5.1,jewish,8.5,0.0,105,2020-04-29 19:25:26.347
5ea9d5872e976d0021262335,150000.0,1991,7.7,['was-full'],82.0,100,100,100,2.0,['fam-friend'],['none'],['elderly-more-risk'],['all-spread-covid'],['asymptomatic-spread'],one-in-1k,1-mo,college,white,male,2.5,6.9,5.3,other-protestant,9.6,5.5,741,2020-04-29 19:23:57.391
5ea9d5a4065939001f471939,80000.0,1966,4.6,['was-full'],49.0,71,78,78,0.0,"['fedgov', 'state-gov', 'fam-friend', 'employer']",['none'],['corona-all-hospitalize'],['all-spread-covid'],['asymptomatic-spread'],three-in-ten,3-mo,some-college,white,male,0.0,4.9,5.0,nothing-in-particular,1.3,4.9,648,2020-04-29 19:25:25.109
5ea9d5cfb3c290002745a271,50000.0,1967,1.1,['now-retired'],71.0,71,10,68,0.0,"['fam-friend', 'religious']",['none'],['corona-all-hospitalize'],['all-spread-covid'],"['asymptomatic-spread', 'only-sick-spread']",one-in-30k,immediate,college,white,male,0.8,8.7,8.5,evangelical-protestant,8.6,9.2,493,2020-04-29 19:24:53.987
5ea9d5fdb3c290002745a273,167000.0,1959,8.5,['now-jobless'],90.0,86,83,90,5.0,"['fam-friend', 'religious']",['none'],['elderly-more-risk'],['all-spread-covid'],['asymptomatic-spread'],one-in-30k,1-mo,college,white,male,2.1,7.4,9.0,catholic,7.9,8.5,483,2020-04-29 19:25:53.063
5ea9d605ea63310022eda1a9,24000.0,1982,8.6,['now-full'],90.0,6,90,16,1.0,['fam-friend'],['none'],['elderly-more-risk'],['all-spread-covid'],['only-sick-spread'],thirty-percent,3-wk,highschool,hispanic-latino,male,1.3,8.0,8.4,something-else,9.2,1.2,765,2020-04-29 19:25:00.051
5ea9d60f2e976d0021262337,90000.0,1997,5.6,['was-full'],57.0,73,60,73,2.0,"['fam-friend', 'fedgov']",['fatigue'],['elderly-more-risk'],['all-spread-covid'],['asymptomatic-spread'],one-in-30k,1-mo,college,white,female,4.7,5.8,5.9,catholic,6.5,5.3,920,2020-04-29 19:25:06.167
5ea9d60fea63310022eda1aa,62000.0,1998,8.0,['now-part'],100.0,100,75,100,0.0,"['employer', 'fam-friend']",['none'],['none-true'],['all-spread-covid'],['only-sick-spread'],three-in-ten,immediate,postgrad,black,female,0.0,7.0,5.1,catholic,10.0,0.0,604,2020-04-29 19:22:34.314
5ea9d614ea63310022eda1ab,57000.0,1974,5.1,['now-part'],13.0,96,24,77,0.0,['fam-friend'],['nasal'],"['elderly-more-risk', 'corona-all-hospitalize']",['all-spread-covid'],['asymptomatic-spread'],one-in-30k,2-wk,college,hispanic-latino,female,0.3,3.5,2.8,catholic,8.2,6.4,480,2020-04-29 19:24:28.068
5ea9d64474c885001d51d9dd,140000.0,1971,5.0,['was-full'],4.0,71,0,90,0.0,['fam-friend'],['none'],"['elderly-more-risk', 'corona-all-hospitalize']",['all-spread-covid'],['asymptomatic-spread'],one-in-30k,1-mo,college,white,male,0.0,3.6,3.5,catholic,1.7,4.7,080,2020-04-29 19:23:52.426
5ea9d64eb3c290002745a279,90000.0,1999,3.3,['now-full'],27.0,59,34,43,0.0,['religious'],['diarrhea'],['elderly-more-risk'],['all-spread-covid'],['only-sick-spread'],one-in-30k,yr-plus,highschool,other-mixed,female,0.0,3.3,0.6,catholic,3.8,6.2,445,2020-04-29 19:29:56.181
5ea9d6502dd05c0029576f3c,120000.0,1980,5.0,['was-full'],100.0,100,100,21,0.0,['fam-friend'],['none'],['elderly-more-risk'],['non-natives-spread-covid'],['infect-from-animal'],three-in-ten,1-mo,college,white,male,0.1,3.0,4.7,nothing-in-particular,0.1,0.0,949,2020-04-29 19:25:59.355
5ea9d6502e976d0021262338,100000.0,1998,9.6,"['was-jobless', 'now-retired', 'now-part', 'was-disabled']",96.0,92,86,21,0.0,"['religious', 'state-gov', 'other', 'employer']","['headache', 'muscle-ache']","['corona-only-elderly', 'elderly-more-risk', 'young-invulnerable', 'corona-all-hospitalize']",['all-spread-covid'],['asymptomatic-spread'],three-percent,6-mo,college,white,female,0.8,0.8,8.6,mormon,9.0,2.1,600,2020-04-29 19:29:22.181
5ea9d654ea63310022eda1ac,100990.0,1996,6.5,"['now-jobless', 'was-part']",100.0,100,100,100,0.0,"['fam-friend', 'fedgov']",['none'],['corona-kills-most'],['all-spread-covid'],['asymptomatic-spread'],three-percent,2-mo,college,black,female,1.8,4.4,5.7,nothing-in-particular,8.3,2.6,100,2020-04-29 19:27:40.475
5ea9d6576cab690021e833b5,100000.0,2002,10.0,['now-jobless'],100.0,99,100,100,1.0,"['local-gov', 'state-gov']",['fatigue'],"['elderly-more-risk', 'corona-similar-flu']",['all-spread-covid'],['asymptomatic-spread'],one-in-1k,2-mo,highschool,black,female,0.0,3.8,4.4,muslim,3.1,2.8,211,2020-04-29 19:23:15.191
5ea9d65b2735280029a27b08,60000.0,1977,7.8,['now-full'],100.0,100,100,100,0.0,['fam-friend'],['none'],"['elderly-more-risk', 'corona-all-hospitalize', 'corona-kills-most']",['all-spread-covid'],['asymptomatic-spread'],almost-all,6-mo,some-college,hispanic-latino,male,0.0,5.0,5.0,nothing-in-particular,6.5,0.0,111,2020-04-29 19:25:30.718
5ea9d669ace2e2001d4baffa,20000.0,1986,5.2,['now-full'],65.0,100,79,100,0.0,['fam-friend'],['none'],['elderly-more-risk'],['all-spread-covid'],['asymptomatic-spread'],one-in-1k,1-mo,some-college,other-mixed,female,0.0,5.1,4.8,something-else,3.1,7.2,851,2020-04-29 19:28:32.798
5ea9d66e2e976d002126233b,55000.0,1964,9.2,['was-full'],89.0,89,94,83,0.0,['fam-friend'],['none'],"['young-invulnerable', 'elderly-more-risk', 'corona-all-hospitalize']",['all-spread-covid'],['asymptomatic-spread'],one-in-30k,6-mo,highschool,white,female,0.4,4.6,8.5,catholic,6.0,4.1,755,2020-04-29 19:24:46.073
5ea9d6752e976d002126233c,27000.0,1997,5.5,['was-full'],86.0,100,58,100,0.0,['fam-friend'],['none'],"['elderly-more-risk', 'corona-all-hospitalize']",['all-spread-covid'],['only-sick-spread'],three-percent,2-mo,highschool,white,female,0.0,1.8,1.2,atheist,0.4,0.6,731,2020-04-29 19:27:42.588
5ea9d6802dd05c0029576f3f,100000.0,1986,6.1,['was-full'],100.0,100,100,100,0.0,['fam-friend'],['fatigue'],"['corona-all-hospitalize', 'elderly-more-risk']",['all-spread-covid'],['asymptomatic-spread'],three-in-ten,2-wk,college,white,female,0.0,2.2,1.4,something-else,5.8,0.0,633,2020-04-29 19:25:36.695
5ea9d6852735280029a27b0b,160000.0,1957,2.6,"['was-full', 'now-full']",48.0,100,95,96,0.0,['fam-friend'],['none'],"['elderly-more-risk', 'corona-all-hospitalize']",['all-spread-covid'],['asymptomatic-spread'],one-in-1k,2-wk,postgrad,white,female,0.3,9.3,10.0,evangelical-protestant,10.0,9.9,778,2020-04-29 19:27:30.861
5ea9d68d065939001f471940,60000.0,1995,6.9,['now-full'],100.0,100,100,100,0.0,['fam-friend'],"['headache', 'fatigue', 'diarrhea', 'short-breath', 'nasal']","['corona-all-hospitalize', 'elderly-more-risk']",['all-spread-covid'],['asymptomatic-spread'],three-percent,1-yr,college,asian,male,5.6,0.0,0.0,atheist,0.0,0.0,430,2020-04-29 19:24:13.151
5ea9d6962e976d002126233d,58000.0,1986,8.2,['was-part'],100.0,46,82,78,0.0,['fam-friend'],['none'],['elderly-more-risk'],['all-spread-covid'],['only-sick-spread'],one-in-1k,4-mo,college,hispanic-latino,female,0.0,5.4,5.2,nothing-in-particular,4.8,0.0,330,2020-04-29 19:26:48.743
5ea9d6a5b3c290002745a27b,15000.0,1993,7.9,['now-jobless'],92.0,98,93,92,100.0,['no-one'],['none'],"['elderly-more-risk', 'corona-all-hospitalize']",['all-spread-covid'],['asymptomatic-spread'],three-percent,1-yr,highschool,white,male,1.9,4.2,4.7,nothing-in-particular,5.4,1.6,542,2020-04-29 19:26:51.561
5ea9d6ad2e976d002126233e,127000.0,1963,7.1,"['was-part', 'now-part']",100.0,100,98,99,0.0,"['fam-friend', 'religious']","['dry-cough', 'sore-throat']","['elderly-more-risk', 'corona-all-hospitalize']",['all-spread-covid'],['asymptomatic-spread'],thirty-percent,3-mo,college,white,female,3.2,6.0,6.0,evangelical-protestant,6.7,6.9,327,2020-04-29 19:27:49.214
5ea9d6b22735280029a27b0d,125000.0,1963,6.4,['was-part'],77.0,92,74,82,0.0,['local-community'],['headache'],['elderly-more-risk'],['all-spread-covid'],['asymptomatic-spread'],thirty-percent,4-mo,postgrad,white,male,2.2,8.6,8.8,mormon,8.2,9.1,840,2020-04-29 19:23:41.189
5ea9d6b5b3c290002745a27c,28000.0,1986,8.9,['was-jobless'],82.0,86,69,52,0.0,['no-one'],['none'],['corona-all-hospitalize'],['ethnicity-spreads-covid'],['asymptomatic-spread'],three-percent,6-mo,highschool,asian,male,1.0,5.1,4.9,catholic,9.0,9.9,707,2020-04-29 19:25:55.893
5ea9d6bf74c885001d51d9e0,257478.0,1938,9.7,['now-full'],73.0,14,98,95,1.0,"['local-gov', 'religious']","['short-breath', 'nausea-vomit']",['corona-only-elderly'],['all-spread-covid'],['only-sick-spread'],three-percent,2-wk,some-college,white,male,2.4,8.7,9.7,mormon,9.8,10.0,284,2020-04-29 19:31:21.313
5ea9d6cdea63310022eda1b0,205000.0,1984,7.7,['was-full'],97.0,92,94,97,2.0,"['fam-friend', 'employer', 'state-gov']",['none'],"['corona-all-hospitalize', 'elderly-more-risk']",['all-spread-covid'],['asymptomatic-spread'],three-in-ten,3-mo,postgrad,white,male,6.2,1.6,0.2,agnostic,2.8,0.6,908,2020-04-29 19:29:18.269
5ea9d6d72735280029a27b0f,50000.0,1969,7.5,['was-full'],83.0,99,91,70,0.0,['fam-friend'],['none'],['none-true'],['all-spread-covid'],['infect-from-animal'],one-in-30k,4-mo,some-college,white,male,1.1,6.8,9.0,evangelical-protestant,4.8,7.2,121,2020-04-29 19:30:31.195
5ea9d6df2dd05c0029576f43,125000.0,1980,8.4,"['was-full', 'now-full']",67.0,53,56,70,2.0,['fam-friend'],"['dry-cough', 'muscle-ache', 'nasal', 'headache']",['elderly-more-risk'],['all-spread-covid'],['asymptomatic-spread'],almost-all,2-mo,postgrad,white,male,2.9,6.1,8.8,nothing-in-particular,2.9,7.0,554,2020-04-29 19:22:33.646
5ea9d6f3ace2e2001d4bb000,27000.0,1981,6.0,['was-full'],54.0,100,100,100,0.0,"['fam-friend', 'fedgov', 'state-gov']",['none'],"['corona-all-hospitalize', 'elderly-more-risk']",['all-spread-covid'],"['asymptomatic-spread', 'only-sick-spread']",almost-all,1-mo,some-college,white,male,0.2,5.4,0.5,other-protestant,9.4,8.0,280,2020-04-29 19:28:43.163
5ea9d6ffc54f3900316caa54,54000.0,1993,6.6,['was-full'],100.0,100,100,100,0.0,['fam-friend'],['sore-throat'],"['elderly-more-risk', 'corona-all-hospitalize']",['ethnicity-spreads-covid'],['asymptomatic-spread'],one-in-1k,1-mo,college,white,female,4.3,6.0,6.3,catholic,1.6,2.7,194,2020-04-29 19:30:43.141
5ea9d718c54f3900316caa55,197000.0,1998,7.2,['was-part'],31.0,83,80,75,8.0,['state-gov'],['fatigue'],['corona-only-elderly'],['non-natives-spread-covid'],['only-sick-spread'],thirty-percent,3-wk,college,other-mixed,male,8.2,7.5,6.0,nothing-in-particular,6.6,7.1,100,2020-04-29 19:33:35.270
